spacing,algorithm,total_distance,waypoints
13.6,lawnmower,1161.000891893979,25
13.7,lawnmower,1143.915878562382,28
13.8,lawnmower,1164.211449499503,27
13.9,lawnmower,1150.4547125996978,28
14.0,lawnmower,1133.0674478643057,26
14.1,lawnmower,1156.5808181829302,27
14.2,lawnmower,1127.9347927522308,27
14.3,lawnmower,1133.2031201792977,28
14.4,lawnmower,1108.2352475959726,28
14.5,lawnmower,1113.0550542482185,23
14.6,lawnmower,1095.366592027145,22
14.7,lawnmower,1126.730454202101,28
14.8,lawnmower,1081.0285221322972,28
14.9,lawnmower,1117.928886042984,24
15.0,lawnmower,1096.1869788498968,22
15.1,lawnmower,1121.1732862402073,26
15.2,lawnmower,1110.543695564099,27
15.3,lawnmower,1129.7462564862692,29
15.4,lawnmower,1105.784324991604,26
15.5,lawnmower,1057.5914529514512,24
15.6,lawnmower,1085.5840134651128,23
15.7,lawnmower,1061.400620479314,25
15.8,lawnmower,1072.4192132792566,24
15.9,lawnmower,1110.9792856466665,23
16.0,lawnmower,1091.500676217954,29
16.1,lawnmower,1062.7915777638286,28
16.2,lawnmower,1054.5404674860067,27
16.3,lawnmower,1073.5390774403475,23
16.4,lawnmower,1046.644406768475,26
16.5,lawnmower,1055.6681035429774,26
16.6,lawnmower,1073.4691050936756,25
16.7,lawnmower,1088.49546227902,27
16.8,lawnmower,1075.7466580159173,25
16.9,lawnmower,1015.9493577570321,25
17.0,lawnmower,1066.087334580605,25
17.1,lawnmower,1059.6862854997394,24
17.2,lawnmower,1064.7894336144304,20
17.3,lawnmower,1087.1218814942958,24
17.4,lawnmower,1011.8386827397673,22
17.5,lawnmower,1039.6065029247495,21
17.6,lawnmower,1061.5908537285943,27
17.7,lawnmower,1016.50370523126,27
17.8,lawnmower,1076.0358348936543,26
17.9,lawnmower,1052.2833333713315,24
18.0,lawnmower,1060.2650130502013,26
18.1,lawnmower,1030.3490825706692,23
18.2,lawnmower,1056.4950540191044,23
18.3,lawnmower,1060.0579557099447,21
18.4,lawnmower,1041.8314734462217,24
18.5,lawnmower,1040.3636935296495,23
18.6,lawnmower,1039.6004131727314,20
18.7,lawnmower,1015.4603674324851,22
18.8,lawnmower,1028.3260221398739,22
18.9,lawnmower,1026.7908191922227,26
19.0,lawnmower,1036.0889299186488,24
19.1,lawnmower,1047.0121917444885,22
19.2,lawnmower,1004.4542783604318,23
19.3,lawnmower,1021.7485240568209,22
19.4,lawnmower,1052.5157088913238,22
19.5,lawnmower,1006.6666969622103,20
19.6,lawnmower,1003.7590812868466,22
19.7,lawnmower,1022.9293725675883,20
19.8,lawnmower,1034.463461385464,19
19.9,lawnmower,1016.5099281463891,23
20.0,lawnmower,1041.5792118087397,23
20.1,lawnmower,1030.8672229349127,18
20.2,lawnmower,1029.3116488625537,21
20.3,lawnmower,1022.3138571200778,24
20.4,lawnmower,1056.5530620069217,24
20.5,lawnmower,1004.6772540275572,24
20.6,lawnmower,967.5023696926503,21
20.7,lawnmower,1038.4618988245456,20
20.8,lawnmower,996.0383190731711,19
20.9,lawnmower,1006.1767476428415,22
21.0,lawnmower,1029.0481565543535,22
21.1,lawnmower,969.6609703162623,24
21.2,lawnmower,975.5330934537262,23
21.3,lawnmower,967.4110609759329,21
21.4,lawnmower,982.4350312088372,18
21.5,lawnmower,1006.0020344459213,20
21.6,lawnmower,1006.5948679673666,21
21.7,lawnmower,1000.5485250612255,20
21.8,lawnmower,965.6896364505931,20
21.9,lawnmower,946.6746435961143,21
22.0,lawnmower,992.9052535259895,20
22.1,lawnmower,981.333710096464,19
22.2,lawnmower,998.9174451640621,21
22.3,lawnmower,1002.7386240939321,20
22.4,lawnmower,990.443400069745,21
22.5,lawnmower,1001.8693283741837,21
22.6,lawnmower,990.2479442964606,18
22.7,lawnmower,995.2708976362584,19
22.8,lawnmower,969.5907452689182,23
22.9,lawnmower,979.1151953041569,18
23.0,lawnmower,985.6746523679218,16
23.1,lawnmower,997.1897902875692,16
23.2,lawnmower,971.9527627624051,20
23.3,lawnmower,989.3074652863161,20
23.4,lawnmower,972.6319421104105,20
23.5,lawnmower,974.6704332491821,22
23.6,lawnmower,992.6920757557357,15
23.7,lawnmower,935.3286659966384,21
23.8,lawnmower,948.356267724219,23
23.9,lawnmower,943.7454133900557,18
24.0,lawnmower,925.8276776030339,19
24.1,lawnmower,958.0529684583073,18
24.2,lawnmower,985.7324796474473,18
24.3,lawnmower,964.1788618822251,19
24.4,lawnmower,972.97219508146,22
24.5,lawnmower,989.9476152403382,23
24.6,lawnmower,993.8707958160854,19
24.7,lawnmower,965.0949740989995,23
24.8,lawnmower,992.7168790817105,20
24.9,lawnmower,966.6618102771159,23
25.0,lawnmower,947.2520355234508,19
